"unique_id","study","study_log_number","project","date","station","species","serial_number","prey_type","prey_length_species","prey_length","estimate","prey_weight"
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",2.4,NA,0.00027
"DOP_0032","DOP","0032","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0032","Gammarus type","Gammarus spp.",2.8,NA,NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",4.6,"G",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",4.6,"ED",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Gammarus type","Unid Gammarus type",3.2,"S",NA
"DOP_0034","DOP","0034","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0034","Corophium type","juvenile Corophium",1.4,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",5.5,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",3.7,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,"G",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,"G",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",6,"ED",NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",2.1,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Unid Gammarus type",3.2,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",2.9,NA,NA
"DOP_0036","DOP","0036","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0036","Gammarus type","Gammarus spp.",3.4,NA,NA
"DOP_0037","DOP","0037","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0037","Gammarus type","Unid Gammarus type",3.2,"S",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.7,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3.4,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.2,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",2.6,NA,2e-04
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",3.8,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.1,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Unid Gammaroidea",3.2,"S",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",2.2,NA,0.00015
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",2.7,NA,0.00051
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Corophium type","juvenile Corophium",1.1,NA,NA
"DOP_0038","DOP","0038","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0038","Gammarus type","Gammarus spp.",7,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",3.1,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Unid Gammarus type",3.2,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",2.9,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Unid Gammaroidea",4.3,"G",NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Unid Gammaroidea",3.3,"G",NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Unid Gammaroidea",2.7,"G",NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Unid Gammarus type",4.2,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",3.5,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",2.4,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",4.1,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Corophium type","A. Spinicorne",2.4,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Corophium type","A. Spinicorne",4,NA,NA
"DOP_0039","DOP","0039","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0039","Gammarus type","Gammarus spp.",4.5,NA,NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",4.4,NA,NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Unid Gammarus type",3.2,"S",NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",3.7,NA,0.00043
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",2.7,"G",NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",2.5,NA,NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",2.7,"G",NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","Gammarus spp.",2.7,NA,NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Corophium type","A. spinicorne",2.7,NA,0.00043
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Unid Amphipod","Unid juvenile",1.9,"S",NA
"DOP_0040","DOP","0040","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0040","Gammarus type","juvenile Gammarus",1.8,NA,NA
"DOP_0041","DOP","0041","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0041","Gammarus type","Gammarus spp.",3.7,"S",NA
"DOP_0042","DOP","0042","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0042","Corophium type","A. spinicorne",3.2,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","juvenile Gammarus",2,"G",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Corophium type","A. spinicorne",2.3,NA,0.00019
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Corophium type","A. spinicorne",2.9,NA,0.00041
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","juvenile Gammarus",1.9,"G",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","juvenile Gammarus",1.9,"G",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",2.2,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",2.8,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",3.3,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","juvenile Gammarus",2,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Corophium type","A. spinicorne",3,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",2.5,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",2.5,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","juvenile Gammarus",1.9,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",2.7,NA,NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Unid Gammaroidea",3.2,"S",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Unid Gammaroidea",3.2,"S",NA
"DOP_0044","DOP","0044","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0044","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.2,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Corophium type","A. spinicorne",3.3,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.3,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3,NA,8e-04
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.8,NA,0.00045
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.2,NA,0.00056
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.1,NA,0.00072
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.1,NA,0.00043
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.3,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","juvenile Gammarus",1.9,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","juvenile Gammarus",1.8,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","juvenile Gammarus",1.8,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Unid Gammaroidea",4.6,"ED",NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Unid Gammaroidea",4.6,"ED",NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Unid Gammaroidea",3.2,"ED",NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Unid Gammaroidea",2.1,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.3,NA,0.00027
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3,NA,0.00036
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.4,NA,0.00026
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",4.1,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.1,NA,0.00027
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.5,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.8,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.8,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.9,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.2,NA,0.00078
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.2,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.1,NA,0.00025
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Unid Gammaroidea",2.3,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.3,NA,0.00067
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.9,NA,0.00052
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",3.9,NA,NA
"DOP_0045","DOP","0045","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0045","Gammarus type","Gammarus spp.",2.3,NA,NA
"DOP_0046","DOP","0046","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0046","Gammarus type","Unid Gammaroidea",4.6,NA,NA
"DOP_0046","DOP","0046","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0046","Gammarus type","juvenile Gammarus",1.9,NA,NA
"DOP_0046","DOP","0046","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0046","Gammarus type","Gammarus spp.",5.3,NA,NA
"DOP_0047","DOP","0047","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0047","Gammarus type","Unid Gammaroidea",3.2,"S",NA
"DOP_0047","DOP","0047","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0047","Corophium type","juvenile Corophium",1.1,NA,NA
"DOP_0048","DOP","0048","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0048","Corophium type","juvenile Corophium",1,NA,NA
"DOP_0049","DOP","0049","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0049","Gammarus type","juvenile Gammarus",3.2,"ED",NA
"DOP_0049","DOP","0049","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0049","Gammarus type","Gammarus spp.",4.6,"ED",NA
"DOP_0049","DOP","0049","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0049","Gammarus type","Unid Gammaroidea",3.2,"S",NA
"DOP_0049","DOP","0049","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0049","Gammarus type","juvenile Gammarus",3.2,"ED",NA
"DOP_0050","DOP","0050","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0050","Gammarus type","Gammarus spp.",4.6,NA,NA
"DOP_0051","DOP","0051","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0051","Gammarus type","Unid Gammarus type",4.6,"ED",NA
"DOP_0051","DOP","0051","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0051","Gammarus type","Gammarus spp.",4.6,"S",NA
"DOP_0051","DOP","0051","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0051","Gammarus type","Unid Gammaroidea",4.6,"ED",NA
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Unid gammarus type",3.2,"ED",NA
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Gammarus spp.",3.7,NA,0.00135
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Gammarus spp.",3.1,NA,0.00065
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Unid Gammaroidea",4.6,"ED",NA
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Corophium type","A. spinicorne",2.5,NA,0.00054
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Gammarus spp.",3.2,"ED",NA
"DOP_0052","DOP","0052","EDSM","10-Oct-17","18-11-LSR01","Delta Smelt","0052","Gammarus type","Gammarus spp.",4.1,NA,NA
