common_name,life_stage,comments,phylum,class,order,family,genus,species,dry_weight,dry_reference,carbon_weight,carbon_reference,wet_weight,wet_weight_reference,length_group
Eurytemora nauplii,Nauplii,NA,Arthropoda,Copepoda,Calanoida,NA,Eurytemora,spp.,0.24,"Carbon weight is 42% of dry weight, Beers (1966)",0.1,Kimmerer (MEPS 2006),1.8e-6,Wet = Kimmerer (2006) ((0.1 ug C * 0.000001) / 0.42) / 0.13,NA
Eurytemora spp.,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Eurytemora,affinis,6.13,Nobriga 1998,2.2,Kimmerer (MEPS 2006),4.03e-5,Wet = Kimmerer (2006) ((2.2 ug C * 0.000001) / 0.42) / 0.13,NA
Exopalaemon modestus,All,Added 24 Mar 2014,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Exopalaemon,modestus,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Shrimp
fish eggs,All,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23e-5,POD Fish Guts,NA
Gammarus type,All,"All ""Gammarus"" shaped amphipods",Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,spp.,10,POD Fish Guts - Delta smelt only,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Amphipods
Harpacticoids,JuvAdult,NA,Arthropoda,Copepoda,Harpacticoida,NA,NA,NA,2.23,Nobriga 1998,1,Kimmerer (MEPS 2006),2.27e-5,POD Fish Guts,NA
Hyperacanthomysis longirostris,All,Formerly Acanthomysis bowmani,Arthropoda,Malacostraca,Mysidacea,NA,Hyperacanthomysis,longirostris,95,POD Fish Guts,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Isopods,All,NA,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,64,POD Fish Guts,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Isopods
Keratella,All,NA,Rotifera,Monogononta,Ploima,Brachionidae,Keratella,spp.,0.16,Nobriga 1998,0.03,Kimmerer (MEPS 2006),1.3e-6,POD Fish Guts,NA
Limnoithona juvenile,Copepodid,NA,Arthropoda,Copepoda,Cyclopoida,NA,Limnothoina,spp.,0.1,Orsi unpublished,0.0275,Kimmerer (MEPS 2006),5e-7,Wet = Kimmerer (2006) ((0.0275 ug C * 0.000001) / 0.42) / 0.13,NA
Limnoithona spp.,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,Limnothoina,spp.,0.75,POD Fish Guts,0.11,Kimmerer (MEPS 2006),5.6e-6,POD Fish Guts,NA
Longfin smelt,All,NA,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,thaleichthys,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Neomysis kadiakensis,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,Neomysis,kadiakensis,434,POD Fish Guts,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Neomysis mercedis,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,Neomysis,mercedis,653,POD Fish Guts,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
Nippoleucon hinumensis,All,Added for ease of data entry Jan 2018. Used weights from Cumaceans,Arthropoda,Malacostraca,Cumacea,Leuconidae,Nippoleucon,hinmensis,39.68,POD Fish Guts,NA,NA,3.307e-4,POD Fish Guts,Cumaceans
Oithona davisae,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,Oithona,davisae,0.6,Bryant and Arnold 2007,0.23,Kimmerer (MEPS 2006),4.2e-6,Wet = Kimmerer (2006) ((0.23 ug C * 0.000001) / 0.42) / 0.13,NA
Oithona juvenile,Copepodid,"March 4, 2014 corrected carbon value 0.575 ug -> 0.0575 ug",Arthropoda,Copepoda,Cyclopoida,NA,Oithona,spp.,NA,NA,0.0575,Kimmerer (MEPS 2006),1.1e-6,Wet = Kimmerer (2006) ((0.0575 ug C * 0.000001) / 0.42) / 0.13,NA
Oithona similis,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,Oithona,similis,0.6,Bryant and Arnold 2007,0.5,Kimmerer (MEPS 2006),9.2e-6,Wet = Kimmerer (2006) ((0.5 ug C * 0.000001) / 0.42) / 0.13,NA
Oithona spp.,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,Oithona,spp.,NA,NA,0,NA,6.6e-6,Wet = Kimmerer (2006); Average from Oithona davisae and similis,NA
Osphranticum,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Osphranticum,labronectum,NA,NA,NA,NA,3.66e-5,POD Fish Guts; From UnID calanoid,NA
Ostracods,All,NA,Arthropoda,Ostacoda,NA,NA,NA,NA,7.91,POD Fish Guts,10,Anke,4.81e-5,POD Fish Guts,NA
Other calanoid,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,NA,NA,2.34,POD Fish Guts,2,Kimmerer (MEPS 2006),3.66e-5,Wet = Kimmerer (2006) ((2 ug C * 0.000001) / 0.42) / 0.13,NA
Other cladocera,All,Cladocera neonates count as individuals,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,3.61,POD Fish Guts,1.6,POD Fish,3.01e-5,POD Fish Guts,NA
Other Cumacean,All,Added 29 July 2020,Arthropoda,Malacostraca,Cumacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
