dop_log_number,project,gear_type,year,month,serial_number,date,station,region,species,time,depth,temp_surf,cond_surf,ppt_surf,temp_bottom,cond_bottom,ppt_bott,secchi,turbidity,total_body_weight,gut_contents,fork_length,total_gut_content_weight,sum_of_number_of_prey,sum_of_final_wet_weight,gut_fullness,fullness_rank,digestion_rank,acanthocyclops,acartiella,acartiella_copepodid,barnacle_nauplii,bosmina,calanoid_copepodid,ceriodaphnia,chironomid_larvae,clams,copepod_nauplii,corophium_type,crab_zoea,cumaceans,cyclopoid_copepodid,daphnia,diaphanosoma,diaptomus_copepodid,eurytemora_copepodid,eurytemora_spp,gammarus_type,harpacticoids,hyperacanthomysis_longirostris,isopods,limnoithona_juvenile,limnoithona_spp,nippoleucon_hinumensis,oithona_davisae,ostracods,other_cladocera,other_cyclopoid,other_malacostraca,other_rotifer,other_zooplankton,palaemon,pseudodiaptomus_copepodid,pseudodiaptomus_forbesi,pseudodiaptomus_marinus,pseudodiaptomus_nauplii,pseudodiaptomus_spp,sinocalanus,sinocalanus_copepodid,sinocalanus_nauplii,terrestrial_invertebrates,tortanus_copepodid,tortanus_dextrilobatus,tridentiger_spp,unid_amphipod,un_id_calanoid,un_id_cladocera,unid_copepod,un_id_cyclopoid,unid_fish,unid_mysids
11,EDSM,KDTR,2017,9,0011,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T09:45:00Z,NA,20.89999962,159.1000061,0.0662786223811695,NA,NA,NA,57.9999983,16.200000760000002,0.7118,Y,47,NA,18,7.818e-4,0.1098342230963754,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,EDSM,KDTR,2017,9,0012,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.0686,Y,55,NA,31,0.001704322238447288,0.15949113217736177,3,3,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,EDSM,KDTR,2017,9,0013,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.0242,Y,57,NA,4,2.196e-4,0.021441124780316345,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,EDSM,KDTR,2017,9,0014,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.9596,Y,53,NA,41,0.0021119913976644115,0.2200908084268874,2,3,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,EDSM,KDTR,2017,9,0015,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.6474,Y,46,NA,3,1.647e-4,0.025440222428174234,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,EDSM,KDTR,2017,9,0016,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.7045,Y,51,NA,2,1.098e-4,0.015585521646557842,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,EDSM,KDTR,2017,9,0017,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.6586,Y,45,0.00837,6,6.168903350925962e-4,0.09366691999583909,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,EDSM,KDTR,2017,9,0018,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.2123,Y,55,NA,2,1.098e-4,0.009057164068299926,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,EDSM,KDTR,2017,9,0019,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.4813,N,40,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,EDSM,KDTR,2017,9,0020,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.7869,Y,47,NA,24,0.0010853,0.13792095564874823,2,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,EDSM,KDTR,2017,9,0021,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,0.6673,Y,48,NA,17,6.940000000000001e-4,0.10400119886108199,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22,EDSM,KDTR,2017,9,0022,2017-09-18T00:00:00Z,18-08-LSR02,Lower Sacramento,delta smelt,1899-12-31T11:08:00Z,NA,21.39999962,435.8999939,0.194902560512199,NA,NA,NA,54.0000021,21.200000760000002,0.6259,Y,43,0.00373,21,0.0010040250866712897,0.1604130191198737,2,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,EDSM,KDTR,2017,9,0023,2017-09-18T00:00:00Z,18-08-LSR02,Lower Sacramento,delta smelt,1899-12-31T11:08:00Z,NA,21.39999962,435.8999939,0.194902560512199,NA,NA,NA,54.0000021,21.200000760000002,0.5445,Y,44,NA,106,0.002786024230502641,0.5116665253448377,3,3,0,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,26,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
24,EDSM,KDTR,2017,9,0024,2017-09-18T00:00:00Z,18-08-LSR01,Lower Sacramento,delta smelt,1899-12-31T10:13:00Z,NA,20.89999962,182.1999969,0.0766267017995669,NA,NA,NA,56.0000002,19.799999239999998,1.2907,Y,57,NA,53,0.0035503133071726595,0.2750688236749562,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25,EDSM,KDTR,2017,9,0025,2017-09-29T00:00:00Z,18-09-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,18.89999962,157.3999939,0.0655210562520743,NA,NA,NA,107.0000052,9.680000305,1.1962,Y,55,NA,28,7.947e-4,0.06643537869921418,1,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,EDSM,KDTR,2017,10,0026,2017-10-04T00:00:00Z,18-10-LSR06,Lower Sacramento,delta smelt,1899-12-31T08:36:00Z,NA,18.39999962,886,0.416464431165921,NA,NA,NA,51.9999981,20.39999962,1.3765,Y,61,0.00842,9,5.877e-4,0.04269524155466763,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,EDSM,KDTR,2017,10,0027,2017-10-10T00:00:00Z,18-11-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,16.700000760000002,118.3000031,0.0482689481979818,NA,NA,NA,52.9999971,46.09999847,0.9488,Y,55,NA,9,0.003999476262740793,0.42152996023827916,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,EDSM,KDTR,2017,10,0028,2017-10-10T00:00:00Z,18-11-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,16.700000760000002,118.3000031,0.0482689481979818,NA,NA,NA,52.9999971,46.09999847,0.6341,Y,47,0.00513,15,0.0014740512914595153,0.23246353752712748,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,EDSM,KDTR,2017,10,0029,2017-10-10T00:00:00Z,18-11-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,16.700000760000002,118.3000031,0.0482689481979818,NA,NA,NA,52.9999971,46.09999847,0.908,Y,54,0.00618,19,0.0017448480551566282,0.1921638827265009,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,EDSM,KDTR,2017,10,0030,2017-10-10T00:00:00Z,18-11-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,16.700000760000002,118.3000031,0.0482689481979818,NA,NA,NA,52.9999971,46.09999847,0.7389,Y,50,0.00319,17,0.005852357810528399,0.7920365151615101,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
31,EDSM,KDTR,2017,10,0031,2017-10-10T00:00:00Z,18-11-LSR01,Lower Sacramento,delta smelt,1899-12-31T08:09:00Z,NA,16.700000760000002,118.3000031,0.0482689481979818,NA,NA,NA,52.9999971,46.09999847,0.4462,Y,45,0.00217,23,0.0029374086298382222,0.6583165911784452,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
