DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0062,EDSM,KT,2017,8,11-Aug-17,18-02-SBM04,Suisun Bay/Marsh,152,Delta Smelt,10:13,,22.2,6152,3.33,,,,47,48.3,0.4335,Y,40,,4,2,,,1
0063,EDSM,KT,2017,8,11-Aug-17,18-02-SBM04,Suisun Bay/Marsh,153,Delta Smelt,10:13,,22.2,6152,3.33,,,,47,48.3,1.7662,Y,64,0.0013,1,2,1,,
0064,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,154,Delta Smelt,8:48,,19.8,8679,4.82,,,,32,55.3,0.7194,Y,50,,3,2,1,,
0065,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,155,Delta Smelt,8:48,,19.8,8679,4.82,,,,32,55.3,0.6114,Y,45,,3,2,,,1
0066,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,156,Delta Smelt,9:01,,20.3,9358,5.23,,,,31,83.6,0.7844,Y,49,,4,2,,,1
0067,EDSM,KT,2017,8,16-Aug-17,18-03-HB01,Suisun Bay/Marsh,157,Delta Smelt,12:08,,21.5,3235,1.67,,,,64,20.2,1.1054,Y,52,,3,3,,1,
0068,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,158,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,0.6575,Y,45,,3,3,,1,1
0070,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,160,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,0.8484,Y,50,,3,2,1,,1
0071,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,161,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,1.3394,Y,58,,3,3,,,1
0072,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,162,Delta Smelt,9:49,,20.3,9050,5.04,,,,25,80.8,1.2830,Y,58,,1,3,,,1
0077,EDSM,KT,2017,9,07-Sep-17,18-06-SBM02,Suisun Bay/Marsh,167,Delta Smelt,11:01,,22.8,8813,4.90,,,,29,85.2,0.6265,Y,47,,2,2,,,1
