DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diaphanosoma spp,Diaptomus copepodid,Eurytemora copepodid,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cyclopoid,Unid fish,Unid mysids
0012,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0012,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.0686,Y,55,,31,0.0017043222,0.159491132,3,3,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0013,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0013,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.0242,Y,57,,4,0.0002196000,0.021441125,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0014,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.9596,Y,53,,41,0.0021119914,0.220090808,2,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0015,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6474,Y,46,,3,0.0001647000,0.025440222,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0016,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.7045,Y,51,,2,0.0001098000,0.015585522,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0017,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6586,Y,45,0.0084,6,0.0006168903,0.09366692,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0018,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.2123,Y,55,,2,0.0001098000,0.009057164,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0019,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.4813,N,40,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0020,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.7869,Y,47,,24,0.0010853000,0.137920956,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0021,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0021,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,0.6673,Y,48,,17,0.0006940000,0.104001199,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0022,EDSM,KT,2017,9,18-Sep-17,18-08-LSR02,Lower Sacramento,0022,Delta Smelt,11:08,,21.4,436,0.19,,,,54,21.2,0.6259,Y,43,0.0037,21,0.0010040251,0.160413019,2,3,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023,EDSM,KT,2017,9,18-Sep-17,18-08-LSR02,Lower Sacramento,0023,Delta Smelt,11:08,,21.4,436,0.19,,,,54,21.2,0.5445,Y,44,,106,0.0027860242,0.511666525,3,3,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,26,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0024,EDSM,KT,2017,9,18-Sep-17,18-08-LSR01,Lower Sacramento,0024,Delta Smelt,10:13,,20.9,182,0.08,,,,56,19.8,1.2907,Y,57,,53,0.0035503133,0.275068824,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0025,EDSM,KT,2017,9,29-Sep-17,18-09-LSR01,Lower Sacramento,0025,Delta Smelt,8:09,,18.9,157,0.07,,,,107,9.7,1.1962,Y,55,,28,0.0007947000,0.066435379,1,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026,EDSM,KT,2017,10,04-Oct-17,18-10-LSR06,Lower Sacramento,0026,Delta Smelt,8:36,,18.4,886,0.42,,,,52,20.4,1.3765,Y,61,0.0084,9,0.0005877000,0.042695242,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0027,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.9488,Y,55,,9,0.0039994763,0.42152996,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0028,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0028,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.6341,Y,47,0.0051,15,0.0014740513,0.232463538,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0029,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.9080,Y,54,0.0062,19,0.0017448481,0.192163883,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0030,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0030,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.7389,Y,50,0.0032,17,0.0058523578,0.792036515,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0031,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0031,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.4462,Y,45,0.0022,23,0.0029374086,0.658316591,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0032,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0032,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,1.1971,Y,58,0.0014,16,0.0075025558,0.626727576,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0033,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.8114,Y,53,0.0015,3,0.0001439000,0.017734779,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0034,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,1.3289,Y,62,0.0034,6,0.0041691777,0.313731487,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0035,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,0.7706,Y,52,0.0032,17,0.0004362000,0.056605243,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0036,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,1.7958,Y,67,,21,0.0113060276,0.629581666,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0037,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,1.1380,Y,60,,12,0.0011482444,0.100900209,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0038,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0038,Delta Smelt,8:09,,16.7,118,0.05,,,,53,46.1,1.8539,Y,67,0.0207,18,0.0181056967,0.97662747,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0039,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.4231,Y,59,,23,0.0109066984,0.766404216,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0040,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.0772,Y,57,0.0080,29,0.0056474138,0.524267903,3,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0
0041,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0041,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.8376,Y,54,,53,0.0024197080,0.288885867,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0042,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0042,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.8343,Y,52,0.0049,44,0.0020837196,0.249756631,3,3,0,0,6,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0043,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0043,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.3562,Y,57,0.0010,48,0.0012219000,0.090097331,2,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0044,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.4888,Y,65,,51,0.0133881360,0.899256851,4,3,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0045,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.1992,Y,59,,53,0.0181758888,1.515667847,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0046,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.1397,Y,60,,6,0.0045819647,0.402032528,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0047,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.7823,Y,54,0.0038,54,0.0022328940,0.285426814,2,2,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
0048,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0048,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.9898,Y,56,,4,0.0001130000,0.011416448,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0049,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.1965,Y,57,,39,0.0040463974,0.338186158,2,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0050,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0050,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.7393,Y,54,,47,0.0028272643,0.38242449,3,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0051,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0051,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.9758,Y,61,,30,0.0060149928,0.616416557,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0052,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0052,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.4185,Y,65,0.0140,43,0.0146952523,1.035971261,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0053,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0053,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.1679,Y,60,,23,0.0039648137,0.339482294,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0054,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0054,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.5737,Y,49,,13,0.0012418555,0.216464274,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0055,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0055,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.3903,Y,60,,19,0.0049969034,0.359411883,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0056,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0056,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,0.9115,Y,54,,31,0.0026308391,0.288627443,3,2,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
0057,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0057,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.6845,Y,65,,56,0.0023292692,0.138276591,3,3,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,18,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0058,EDSM,KT,2017,10,10-Oct-17,18-11-LSR01,Lower Sacramento,0058,Delta Smelt,8:39,,16.8,137,0.06,,,,52,36.1,1.1114,Y,56,,56,0.0118421460,1.065516102,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0059,EDSM,KT,2017,10,10-Oct-17,18-11-LSR02,Lower Sacramento,0059,Delta Smelt,9:27,,,,,,,,,,1.6439,Y,59,,27,0.0083834979,0.509976149,4,2,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
