DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diaphanosoma spp,Diaptomus copepodid,Eurytemora copepodid,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cyclopoid,Unid fish,Unid mysids
0060,EDSM,KT,2017,10,10-Oct-17,18-11-LSR02,Lower Sacramento,0060,Delta Smelt,9:51,,17.5,860,0.40,,,,48,24.0,0.8048,Y,50,0.0017,18,0.0011251000,0.139798708,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0061,EDSM,KT,2017,8,10-Aug-17,18-02-SBM02,Suisun Bay/Marsh,0151,Delta Smelt,10:42,,22.4,8404,4.65,,,,40,47.1,1.5025,Y,62,,40,0.0015687000,0.10440599,2,2,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0062,EDSM,KT,2017,8,11-Aug-17,18-02-SBM04,Suisun Bay/Marsh,0152,Delta Smelt,10:13,,22.2,6152,3.33,,,,47,48.3,0.4335,Y,42,,1315,0.0078895000,1.819953864,4,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0063,EDSM,KT,2017,8,11-Aug-17,18-02-SBM04,Suisun Bay/Marsh,0153,Delta Smelt,10:13,,22.2,6152,3.33,,,,47,48.3,1.7662,Y,62,0.0013,4,0.0001907000,0.010797192,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0064,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,0154,Delta Smelt,8:48,,19.8,8679,4.82,,,,32,55.3,0.7194,Y,52,,827,0.0047205000,0.65617181,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0065,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,0155,Delta Smelt,8:48,,19.8,8679,4.82,,,,32,55.3,0.6114,Y,46,,389,0.0025300000,0.413804383,3,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,12,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
0066,EDSM,KT,2017,8,16-Aug-17,18-03-SM02,Suisun Bay/Marsh,0156,Delta Smelt,9:01,,20.3,9358,5.23,,,,31,83.6,0.7844,Y,54,,557,0.0030344000,0.386843447,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0067,EDSM,KT,2017,8,16-Aug-17,18-03-HB01,Suisun Bay/Marsh,0157,Delta Smelt,12:08,,21.5,3235,1.67,,,,64,20.2,1.1054,Y,51,,140,0.0087855000,0.79478017,3,3,0,0,76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0068,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,0158,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,0.6575,Y,45,,749,0.0047519000,0.722722433,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0
0069,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,0159,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,1.0729,Y,52,0.0103,8,0.0006671043,0.062177681,1,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0070,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,0160,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,0.8484,Y,49,,841,0.0059896980,0.705999294,3,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,3,796,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
0071,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,0161,Delta Smelt,9:05,,20.0,10399,5.86,,,,26,63.3,1.3394,Y,55,,282,0.0021096940,0.15751038,3,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,8,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0
0072,EDSM,KT,2017,8,22-Aug-17,18-04-SBM05,Suisun Bay/Marsh,0162,Delta Smelt,9:49,,20.3,9050,5.04,,,,25,80.8,1.2830,Y,60,,14,0.0022905960,0.178534374,1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0073,EDSM,KT,2017,8,22-Aug-17,18-04-SBM02,Suisun Bay/Marsh,0163,Delta Smelt,10:35,,20.5,9066,5.05,,,,30,95.4,0.7772,Y,45,0.0065,1259,0.0115919000,1.491495111,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,972,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,279,0,0
0074,EDSM,KT,2017,8,23-Aug-17,18-04-LSJ03,Lower San Joaquin,0164,Delta Smelt,10:05,,21.1,1453,0.71,,,,26,30.0,0.7285,Y,46,,5,0.0002044000,0.028057653,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0075,EDSM,KT,2017,8,30-Aug-17,18-05-SBM02,Suisun Bay/Marsh,0165,Delta Smelt,8:23,,21.9,3676,1.91,,,,41,24.5,1.2244,Y,51,0.0031,18,0.0008190675,0.066895421,1,2,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0076,EDSM,KT,2017,9,07-Sep-17,18-06-SBM01,Suisun Bay/Marsh,0166,Delta Smelt,8:57,,22.5,7776,4.28,,,,43,37.1,0.6768,Y,48,,2,0.0000269000,0.003974586,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0077,EDSM,KT,2017,9,07-Sep-17,18-06-SBM02,Suisun Bay/Marsh,0167,Delta Smelt,11:01,,22.8,8813,4.90,,,,29,85.2,0.6265,Y,48,,226,0.0017225000,0.274940144,2,2,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0
0078,EDSM,KT,2017,9,11-Sep-17,18-07-SBM01,Suisun Bay/Marsh,0168,Delta Smelt,8:34,,22.2,12416,7.09,,,,49,28.1,0.9866,Y,58,,1,0.0000753000,0.007632272,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0079,EDSM,KT,2017,9,11-Sep-17,18-07-SBM02,Suisun Bay/Marsh,0169,Delta Smelt,9:35,,22.3,11854,6.75,,,,44,27.8,0.8933,Y,50,,1409,0.0098712000,1.105026307,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0
0080,EDSM,KT,2017,9,12-Sep-17,18-07-HB01,Suisun Bay/Marsh,0170,Delta Smelt,8:32,,22.8,4489,2.37,,,,64,28.8,0.8269,Y,48,,8,0.0001226000,0.01482646,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0081,EDSM,KT,2017,9,12-Sep-17,18-07-SBM03,Suisun Bay/Marsh,0171,Delta Smelt,9:06,,22.3,9199,5.13,,,,46,36.3,0.9132,Y,51,,283,0.0025094000,0.27479194,2,2,0,8,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
0082,EDSM,KT,2017,9,20-Sep-17,18-08-SM01,Suisun Bay/Marsh,0172,Delta Smelt,11:58,,20.7,7268,3.98,,,,32,66.5,1.1682,Y,60,,1216,0.0097268000,0.832631399,4,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1016,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0
0083,EDSM,KT,2017,9,20-Sep-17,18-08-SBM01,Suisun Bay/Marsh,0173,Delta Smelt,13:32,,20.1,7555,4.15,,,,32,79.5,0.6802,Y,48,,10,0.0008023909,0.11796397,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0084,EDSM,KT,2017,9,27-Sep-17,18-09-SBM01,Suisun Bay/Marsh,0174,Delta Smelt,9:17,,19.7,5271,2.82,,,,50,31.8,1.6402,Y,61,,6,0.0003018000,0.018400195,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0085,EDSM,KT,2017,9,29-Sep-17,18-09-SBM02,Suisun Bay/Marsh,0175,Delta Smelt,9:22,,19.7,4890,2.60,,,,82,13.1,1.1043,Y,58,0.0080,434,0.0051024000,0.462048356,3,3,0,0,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,1,0,60,0,0
0086,EDSM,KT,2017,10,10-Oct-17,18-11-SM01,Suisun Bay/Marsh,0176,Delta Smelt,9:47,,17.8,6903,3.77,,,,29,44.9,0.8173,Y,52,,87,0.0023971000,0.293294996,3,3,8,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,28,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0087,EDSM,KT,2017,10,17-Oct-17,18-12-SM01,Suisun Bay/Marsh,0177,Delta Smelt,10:13,6.55,17.0,8184,4.52,,,,35,56.3,0.4109,Y,47,0.0044,260,0.0040494865,0.985516317,4,3,0,0,0,0,0,16,0,0,0,7,0,0,0,189,0,0,0,6,10,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
0088,EDSM,KT,2017,10,23-Oct-17,18-13-LSR01,Lower Sacramento,0061,Delta Smelt,8:21,6.60,16.2,868,0.41,,,,42,23.7,1.0544,Y,53,,1,0.0000137000,0.001299317,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0089,EDSM,KT,2017,11,08-Nov-17,18-15-LSR02,Lower Sacramento,0062,Delta Smelt,9:51,8.90,15.6,1664,0.82,,,,69,17.6,0.5914,Y,44,,68,0.0017002000,0.287487318,2,2,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0090,EDSM,KT,2017,11,20-Nov-17,18-17-LSR01,Lower Sacramento,0063,Delta Smelt,8:59,,14.5,1433,0.70,,,,64,39.0,0.8289,Y,49,,43,0.0009464674,0.114183548,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0091,EDSM,KT,2017,10,25-Oct-17,18-13-HB01,Suisun Bay/Marsh,0178,Delta Smelt,8:18,11.21,16.9,4064,2.13,,,,57,23.1,0.7994,Y,52,0.0036,4,0.0000876000,0.010958219,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0092,EDSM,KT,2017,10,30-Oct-17,18-14-SM01,Suisun Bay/Marsh,0179,Delta Smelt,10:42,,17.8,7524,4.13,,,,45,33.1,0.9719,Y,56,,518,0.0094854141,0.975966058,4,2,37,0,0,0,0,0,0,0,0,2,0,0,1,334,0,0,0,65,28,0,5,1,0,1,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0093,EDSM,KT,2017,11,27-Nov-17,18-18-SM01,Suisun Bay/Marsh,0180,Delta Smelt,9:34,8.10,14.4,8434,4.67,,,,32,38.3,1.3346,Y,57,,265,0.0058405000,0.437621759,3,2,67,0,0,0,0,1,0,0,0,0,0,0,0,166,2,0,0,2,18,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0094,EDSM,KT,2017,11,27-Nov-17,18-18-SM01,Suisun Bay/Marsh,0181,Delta Smelt,9:53,,,,,,,,,,2.5447,Y,70,,234,0.0050425000,0.198156954,3,2,46,1,0,0,0,1,0,0,0,0,0,0,0,152,1,0,0,4,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0095,EDSM,KT,2017,11,28-Nov-17,18-18-SBM02,Suisun Bay/Marsh,0182,Delta Smelt,8:32,5.60,14.0,10196,5.73,,,,64,16.9,0.9937,Y,57,,108,0.0043170192,0.434438881,4,3,22,0,0,0,0,0,0,0,0,0,0,0,1,24,47,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0096,EDSM,KT,2017,11,28-Nov-17,18-18-HB01,Suisun Bay/Marsh,0183,Delta Smelt,9:29,18.70,14.2,5364,2.87,,,,53,26.0,0.9431,Y,54,0.0028,210,0.0026555000,0.281571413,2,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,172,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
0097,EDSM,KT,2018,7,05-Jul-18,18-49-LSSC03,Sac DW Ship Channel,0064,Delta Smelt,12:37,2.60,22.4,507,0.23,,,,34,38.3,0.4786,Y,44,0.0026,14,0.0005805553,0.121302819,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0098,EDSM,KT,2018,7,05-Jul-18,18-49-LSSC03,Sac DW Ship Channel,0065,Delta Smelt,12:37,2.60,22.4,507,0.23,,,,34,38.3,0.3533,Y,35,0.0019,14,0.0007617796,0.215618352,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
0099,EDSM,KT,2018,7,05-Jul-18,18-49-LSSC03,Sac DW Ship Channel,0066,Delta Smelt,12:52,10.00,22.0,515,0.23,,,,32,40.2,0.4281,Y,42,0.0031,6,0.0002346896,0.0548212,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0100,EDSM,KT,2018,7,05-Jul-18,18-49-LSSC03,Sac DW Ship Channel,0067,Delta Smelt,12:52,10.00,22.0,515,0.23,,,,32,40.2,0.4901,Y,43,0.0033,18,0.0011357000,0.231728219,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0101,EDSM,KT,2018,7,09-Jul-18,18-50-LSSC01,Sac DW Ship Channel,0068,Delta Smelt,8:55,9.60,22.8,690,0.32,,,,31,39.2,0.4790,Y,44,0.0024,9,0.0004610000,0.096242171,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0
0102,EDSM,KT,2018,7,18-Jul-18,18-51-LSSC01,Sac DW Ship Channel,0069,Delta Smelt,8:16,11.18,23.7,683,0.32,,,,24,44.3,0.7110,Y,46,0.0034,3,0.0000475141,0.006682717,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0103,EDSM,KT,2018,7,19-Jul-18,18-51-LSSC04,Sac DW Ship Channel,0070,Delta Smelt,10:11,10.10,23.5,539,0.24,,,,31,48.3,0.8499,Y,48,0.0051,134,0.0059526565,0.700394925,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,30,8,0,4,0,2,0,62,0,0,0,0,0,0,1,0,0,0,0
0104,EDSM,KT,2018,7,23-Jul-18,18-52-LSSC02,Sac DW Ship Channel,0071,Delta Smelt,11:12,11.00,24.1,713,0.33,,,,39,34.0,0.8703,Y,48,0.0036,51,0.0003282141,0.037712756,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105,EDSM,KT,2018,7,23-Jul-18,18-52-LSSC05,Sac DW Ship Channel,0072,Delta Smelt,11:34,10.00,24.1,708,0.33,,,,36,33.1,0.7034,Y,48,,1,0.0000549000,0.007804947,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0106,EDSM,KT,2018,7,24-Jul-18,18-52-LSSC03,Sac DW Ship Channel,0073,Delta Smelt,8:57,11.20,23.3,266,0.11,,,,49,28.3,1.0844,Y,50,0.0107,72,0.0032042000,0.295481372,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,28,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
0107,EDSM,KT,2018,7,24-Jul-18,18-52-LSSC03,Sac DW Ship Channel,0074,Delta Smelt,8:57,11.20,23.3,266,0.11,,,,49,28.3,0.8169,Y,45,0.0050,50,0.0028700378,0.351332817,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,18,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0
0108,EDSM,KT,2018,7,24-Jul-18,18-52-LSSC03,Sac DW Ship Channel,0075,Delta Smelt,8:57,11.20,23.3,266,0.11,,,,49,28.3,0.7457,Y,44,0.0042,3,0.0000823000,0.01103661,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0109,EDSM,KT,2018,7,24-Jul-18,18-52-LSSC03,Sac DW Ship Channel,0076,Delta Smelt,9:16,9.80,23.3,275,0.12,,,,45,29.2,0.8332,Y,47,0.0045,47,0.0019317000,0.231841095,2,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,14,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
0110,EDSM,KT,2018,8,01-Aug-18,19-01-LSSC01,Sac DW Ship Channel,0077,Delta Smelt,9:41,11.30,23.9,755,0.35,,,,43,28.8,0.8290,Y,47,0.0075,972,0.0073360000,0.884921592,3,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,39,883,0,0,0,0,11,0,0,0,0,1,1,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0
0111,EDSM,KT,2018,8,01-Aug-18,19-01-LSSC01,Sac DW Ship Channel,0078,Delta Smelt,9:41,11.30,23.9,755,0.35,,,,43,28.8,0.9621,Y,52,0.0052,5,0.0000280000,0.0029103,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0112,EDSM,KT,2018,8,01-Aug-18,19-01-USSC03,Sac DW Ship Channel,0079,Delta Smelt,10:49,10.70,24.1,828,0.39,,,,50,23.8,0.5771,Y,47,0.0032,113,0.0012589000,0.218142436,2,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,76,0,0,0,0,3,0,0,0,0,8,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0113,EDSM,KT,2018,8,01-Aug-18,19-01-USSC03,Sac DW Ship Channel,0080,Delta Smelt,11:17,14.90,24.1,836,0.39,,,,52,20.6,0.7975,Y,50,0.0050,28,0.0001930000,0.024200627,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0114,EDSM,KT,2018,8,08-Aug-18,19-02-LSSC02,Sac DW Ship Channel,0081,Delta Smelt,11:56,9.20,23.1,567,0.26,,,,39,31.8,0.7599,Y,46,,30,0.0011605000,0.152717463,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0
0115,EDSM,KT,2018,8,08-Aug-18,19-02-LSSC02,Sac DW Ship Channel,0082,Delta Smelt,11:56,9.20,23.1,567,0.26,,,,39,31.8,0.6321,Y,45,0.0091,14,0.0028730071,0.454517816,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0116,EDSM,KT,2018,8,14-Aug-18,19-03-LSSC01,Sac DW Ship Channel,0083,Delta Smelt,9:17,9.90,22.7,330,0.14,,,,65,19.1,0.7308,Y,48,0.0032,12,0.0002518000,0.034455391,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0117,EDSM,KT,2018,8,14-Aug-18,19-03-LSSC01,Sac DW Ship Channel,0084,Delta Smelt,9:17,9.90,22.7,330,0.14,,,,65,19.1,0.4666,Y,40,,125,0.0014254000,0.305486498,3,3,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58,0,0,0,0,3,0,0,0,0,18,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0118,EDSM,KT,2018,8,14-Aug-18,19-03-LSSC01,Sac DW Ship Channel,0085,Delta Smelt,9:17,9.90,22.7,330,0.14,,,,65,19.1,0.6895,Y,48,0.0051,141,0.0036490000,0.529224075,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,82,40,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0119,EDSM,KT,2018,8,14-Aug-18,19-03-LSSC01,Sac DW Ship Channel,0086,Delta Smelt,9:17,9.90,22.7,330,0.14,,,,65,19.1,0.7448,Y,47,0.0055,43,0.0008294000,0.111358754,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
