DOPLogNumber,Project,SurveyDate,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
0036,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0036,Gammarus type,Gammarus spp.,6,ED,
0036,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0036,Gammarus type,Gammarus spp.,2.1,,
0036,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0036,Gammarus type,Unid Gammarus type,3.2,,
0036,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0036,Gammarus type,Gammarus spp.,2.9,,
0036,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0036,Gammarus type,Gammarus spp.,3.4,,
0037,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0037,Gammarus type,Unid Gammarus type,3.2,S,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,4.7,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,3.2,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,3.4,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,4.6,ED,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,4.2,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,2.6,,0.0002
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,3,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,3.8,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,4.1,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Unid Gammaroidea,3.2,S,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,4.6,ED,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,2.2,,0.00015
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,2.7,,0.00051
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Corophium type,juvenile Corophium,1.1,,
0038,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0038,Gammarus type,Gammarus spp.,7,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,3.1,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Unid Gammarus type,3.2,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,2.9,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Unid Gammaroidea,4.3,G,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Unid Gammaroidea,3.3,G,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Unid Gammaroidea,2.7,G,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Unid Gammarus type,4.2,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,3.5,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,2.4,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,4.1,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Corophium type,A. Spinicorne,2.4,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Corophium type,A. Spinicorne,4,,
0039,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0039,Gammarus type,Gammarus spp.,4.5,,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,4.4,,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Unid Gammarus type,3.2,S,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,3.7,,0.00043
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,2.7,G,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,2.5,,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,2.7,G,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,Gammarus spp.,2.7,,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Corophium type,A. spinicorne,2.7,,0.00043
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Unid Amphipod,Unid juvenile,1.9,S,
0040,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0040,Gammarus type,juvenile Gammarus,1.8,,
0041,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0041,Gammarus type,Gammarus spp.,3.7,S,
0042,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0042,Corophium type,A. spinicorne,3.2,,
0044,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0044,Corophium type,juvenile Corophium,1,,
0044,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0044,Gammarus type,juvenile Gammarus,2,G,
